GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-historico,com.ms.historico.infraestrutura.config.security,MyUserDetails,0,17,0,0,0,7,0,7,0,7
ms-historico,com.ms.historico.infraestrutura.config.security,SecurityUtil,2,87,2,12,1,23,2,13,0,8
ms-historico,com.ms.historico.infraestrutura.config.security,JwtUtil,17,107,4,6,8,30,6,9,2,8
ms-historico,com.ms.historico.infraestrutura.config.security,SecurityExceptionHandlerConfig,0,53,0,0,0,15,0,5,0,5
ms-historico,com.ms.historico.infraestrutura.config.security,Role,0,44,0,2,0,8,0,4,0,3
ms-historico,com.ms.historico.infraestrutura.config.security,JwtAuthenticationFilter,0,110,4,12,0,31,4,5,0,1
ms-historico,com.ms.historico.infraestrutura.messaging,AgendamentoDto,0,30,0,0,0,1,0,1,0,1
ms-historico,com.ms.historico.infraestrutura.database.mapper,HistoricoEntityMapper,0,5,0,0,0,1,0,1,0,1
ms-historico,com.ms.historico.infraestrutura.database.mapper,HistoricoEntityMapperImpl,4,75,2,2,2,21,2,3,0,3
ms-historico,com.ms.historico.infraestrutura.config,RabbitMQConfig,0,25,0,0,0,5,0,5,0,5
ms-historico,com.ms.historico.infraestrutura.config.domainService,HistoricoDomainServiceConfig,0,8,0,0,0,2,0,2,0,2
ms-historico,com.ms.historico.domain.exception,ObjetoNaoExisteException,0,5,0,0,0,2,0,1,0,1
ms-historico,com.ms.historico.domain.exception,CampoObrigatorioException,0,5,0,0,0,2,0,1,0,1
ms-historico,com.ms.historico.domain.exception,ObjetoJaExisteException,5,0,0,0,2,0,1,0,1,0
ms-historico,com.ms.historico.domain.rules,ValidarCamposObrigatoriosRule,3,43,1,17,1,10,2,12,1,4
ms-historico,com.ms.historico.infraestrutura.database.specification,HistoricoSpecification,37,4,4,0,7,1,4,1,2,1
ms-historico,com.ms.historico.application.usecase.implementations,BuscarHistoricoUseCaseImpl,0,12,0,0,0,4,0,2,0,2
ms-historico,com.ms.historico.application.usecase.implementations,AtualizarHistoricoUseCaseImpl,0,47,0,0,0,17,0,2,0,2
ms-historico,com.ms.historico.application.usecase.implementations,InserirHistoricoUseCaseImpl,0,26,0,0,0,12,0,2,0,2
ms-historico,com.ms.historico.application.usecase.implementations,DeletarHistoricoUseCaseImpl,0,20,0,0,0,7,0,2,0,2
ms-historico,com.ms.historico.infraestrutura.database.implementations,MessageConsumerImpl,0,102,0,2,0,22,0,4,0,3
ms-historico,com.ms.historico.infraestrutura.database.implementations,HistoricoImpl,0,49,0,0,0,13,0,4,0,4
ms-historico,com.ms.historico.domain.model,HistoricoDomain,24,52,0,0,9,22,1,15,1,15
ms-historico,com.ms.historico.domain.domainService.implementations,HistoricoDomainServiceImpl,0,19,0,0,0,5,0,3,0,3
